realProfileID,venue,year,title,authors
0,SIGMOD Record,1999,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,D. Scott Mackay
1,VLDB,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis"
2,VLDB,2002,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane"
3,VLDB,1996,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser"
4,VLDB,1995,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet"
5,SIGMOD Conference,1999,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim
6,SIGMOD Record,2002,Mining the World Wide Web: An Information Search Approach - Book Review,Aris M. Ouksel
7,VLDB J.,1998,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri
8,SIGMOD Record,1997,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Nandit Soparkar, Krithi Ramamritham"
9,SIGMOD Record,1996,UniSQL's Next-Generation Object-Relational Database Management System,"Phil Janus, Albert D'Andrea"
10,VLDB,1994,Dual-Buffering Strategies in Object Bases,"Alfons Kemper, Donald Kossmann"
11,VLDB J.,1996,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley"
12,VLDB J.,2000,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang"
13,VLDB J.,2001,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang"
14,VLDB,1996,SPRINT: A Scalable Parallel Classifier for Data Mining,"John C. Shafer, Rakesh Agrawal, Manish Mehta"
15,SIGMOD Conference,2001,Snowball: A Prototype System for Extracting Relations from Large Text Collections,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova"
16,SIGMOD Conference,1997,A Framework for Implementing Hypothetical Queries,"Timothy Griffin, Richard Hull"
17,VLDB J.,1997,Parametric Query Optimization,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim"
18,VLDB,2001,Lineage Tracing for General Data Warehouse Transformations,"Yingwei Cui, Jennifer Widom"
19,SIGMOD Record,2002,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),Joachim Hammer
20,VLDB,2000,Approximating Aggregate Queries about Web Pages via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz"
21,SIGMOD Record,1997,A Query Language for a Web-Site Management System,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez"
22,VLDB,1996,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino"
23,SIGMOD Conference,1998,Free Parallel Data Mining,"Bin Li, Dennis Shasha"
24,VLDB,1999,High Level Indexing of User-Defined Types,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon�a Mattos"
25,VLDB,1994,PC Database Systems - Present and Future,Philip A. Bernstein
26,VLDB,2001,Form-Based Proxy Caching for Database-Backed Web Sites,"Jeffrey F. Naughton, Qiong Luo"
27,VLDB J.,1998,A Logical View of Structured Files,"Tova Milo, Serge Abiteboul, Sophie Cluet"
28,SIGMOD Record,2003,DBGlobe: a service-oriented P2P system for global computing,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras"
29,SIGMOD Conference,1999,Database Patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann"
30,VLDB,1994,Scientific Databases - State of the Art and Future Directions,"Yannis E. Ioannidis, Maria Zemankova"
31,VLDB,1997,A Generic Approach to Bulk Loading Multidimensional Index Structures,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken"
32,VLDB,2003,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,"J�rg Sander, Jianjun Zhou"
33,VLDB,1996,Efficient Snapshot Differential Algorithms for Data Warehousing,"Hector Garcia-Molina, Wilburt Labio"
34,VLDB,1996,Integrating Triggers and Declarative Constraints in SQL Database Sytems,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon�a Mattos"
35,VLDB,2003,Efficient IR-Style Keyword Search over Relational Databases,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis"
36,SIGMOD Conference,2003,"Temporal Coalescing with Now, Granularity, and Incomplete Information",Curtis E. Dyreson
